"region","city","ISOALPHA","Initial_local_infection_1","Initial_local_infection_3","Initial_local_infection_5"
"CA","Almaty","KAZ",2,5,9
"CA","Bishkek","KGZ",6,17,29
"CA","Dushanbe","TJK",9,27,45
"CA","Ashgabat","TKM",7,22,36
"CA","Tashkent","UZB",3,8,14
"EA","Shanghai","CHN",0,1,1
"EA","Hong Kong","HKG",1,2,3
"EA","Taipei","TWN",1,2,3
"EA","Tokyo","JPN",1,2,3
"EA","Seoul","KOR",1,2,3
"SA","Kabul","AFG",4,11,18
"SA","Dhaka","BGD",1,2,4
"SA","Mumbai","IND",0,1,2
"SA","Tehran","IRN",1,2,4
"SA","Kathmandu","NPL",2,7,12
"SA","Karachi","PAK",1,2,4
"SA","Colombo","LKA",7,21,35
"SEA","Phnom Penh","KHM",15,44,74
"SEA","Jakarta","IDN",0,1,2
"SEA","Vientiane","LAO",23,69,115
"SEA","Kuala Lumpur","MYS",5,15,25
"SEA","Yangon","MMR",1,4,7
"SEA","Manila","PHL",9,27,45
"SEA","Singapore","SGP",2,5,9
"SEA","Bangkok","THA",1,4,6
"SEA","Ho Chi Minh City","VNM",1,3,5
"WA","Baku","AZE",4,13,22
"WA","Baghdad","IRQ",1,2,4
"WA","Jerusalem","ISR",6,19,31
"WA","Amman","JOR",5,14,23
"WA","Beirut","LBN",3,8,14
"WA","Muscat","OMN",9,26,43
"WA","Riyadh","SAU",2,5,8
"WA","Aleppo","SYR",5,14,23
"WA","Istanbul","TUR",0,1,1
"WA","Dubai","ARE",13,39,66
"WA","Sanaa","YEM",4,13,21
