"region","city","ISOALPHA","Initial_local_infection_1","Initial_local_infection_3","Initial_local_infection_5"
"CA","Almaty","KAZ",0.4,1.1,1.8
"CA","Bishkek","KGZ",1.1,3.2,5.3
"CA","Dushanbe","TJK",1.9,5.7,9.4
"CA","Ashgabat","TKM",1.3,3.9,6.5
"CA","Tashkent","UZB",0.5,1.5,2.4
"EA","Shanghai","CHN",0,0.1,0.1
"EA","Hong Kong","HKG",0,0.1,0.2
"EA","Taipei","TWN",0,0.1,0.2
"EA","Tokyo","JPN",0.1,0.2,0.3
"EA","Seoul","KOR",0,0.1,0.2
"SA","Kabul","AFG",0.7,2.2,3.7
"SA","Dhaka","BGD",0.1,0.4,0.6
"SA","Mumbai","IND",0.1,0.2,0.3
"SA","Tehran","IRN",0.1,0.3,0.4
"SA","Kathmandu","NPL",0.7,2,3.2
"SA","Karachi","PAK",0.1,0.4,0.6
"SA","Colombo","LKA",0.8,2.4,4
"SEA","Phnom Penh","KHM",2.1,6.2,10.2
"SEA","Jakarta","IDN",0.1,0.2,0.3
"SEA","Vientiane","LAO",3.6,10.5,17.2
"SEA","Kuala Lumpur","MYS",0.6,1.7,2.9
"SEA","Yangon","MMR",0.2,0.5,0.8
"SEA","Manila","PHL",1.7,5.1,8.4
"SEA","Singapore","SGP",0.2,0.6,0.9
"SEA","Bangkok","THA",0.1,0.2,0.3
"SEA","Ho Chi Minh City","VNM",0.2,0.5,0.8
"WA","Baku","AZE",0.8,2.5,4.2
"WA","Baghdad","IRQ",0.2,0.5,0.8
"WA","Jerusalem","ISR",1.2,3.6,5.9
"WA","Amman","JOR",0.9,2.8,4.7
"WA","Beirut","LBN",0.6,1.7,2.8
"WA","Muscat","OMN",2,6,9.8
"WA","Riyadh","SAU",0.3,1,1.7
"WA","Aleppo","SYR",1.1,3.3,5.4
"WA","Istanbul","TUR",0,0.1,0.2
"WA","Dubai","ARE",4.7,13.9,22.8
"WA","Sanaa","YEM",1.1,3.2,5.3
