"region","city","ISOALPHA","Initial_local_infection_1","Initial_local_infection_3","Initial_local_infection_5"
"CA","Almaty","KAZ",15,44,74
"CA","Bishkek","KGZ",45,135,223
"CA","Dushanbe","TJK",82,242,398
"CA","Ashgabat","TKM",55,165,272
"CA","Tashkent","UZB",21,62,102
"EA","Shanghai","CHN",1,3,5
"EA","Hong Kong","HKG",1,4,6
"EA","Taipei","TWN",1,4,7
"EA","Tokyo","JPN",3,9,15
"EA","Seoul","KOR",2,6,10
"SA","Kabul","AFG",32,96,158
"SA","Dhaka","BGD",5,15,25
"SA","Mumbai","IND",2,7,12
"SA","Tehran","IRN",4,11,18
"SA","Kathmandu","NPL",27,82,136
"SA","Karachi","PAK",5,15,26
"SA","Colombo","LKA",34,100,166
"SEA","Phnom Penh","KHM",92,272,446
"SEA","Jakarta","IDN",3,8,13
"SEA","Vientiane","LAO",157,461,751
"SEA","Kuala Lumpur","MYS",24,73,120
"SEA","Yangon","MMR",6,19,32
"SEA","Manila","PHL",75,224,369
"SEA","Singapore","SGP",8,24,39
"SEA","Bangkok","THA",3,8,14
"SEA","Ho Chi Minh City","VNM",7,20,33
"WA","Baku","AZE",35,106,175
"WA","Baghdad","IRQ",7,21,36
"WA","Jerusalem","ISR",51,151,249
"WA","Amman","JOR",40,119,197
"WA","Beirut","LBN",24,71,117
"WA","Muscat","OMN",85,252,416
"WA","Riyadh","SAU",15,44,74
"WA","Aleppo","SYR",47,139,230
"WA","Istanbul","TUR",2,5,9
"WA","Dubai","ARE",210,616,1004
"WA","Sanaa","YEM",46,137,227
