"region","city","ISOALPHA","Initial_local_infection_1","Initial_local_infection_3","Initial_local_infection_5"
"CA","Almaty","KAZ",0.9,2.6,4.3
"CA","Bishkek","KGZ",2.7,7.9,13
"CA","Dushanbe","TJK",4.8,14.3,23.5
"CA","Ashgabat","TKM",3.3,9.8,16.1
"CA","Tashkent","UZB",1.2,3.6,6
"EA","Shanghai","CHN",0.1,0.2,0.3
"EA","Hong Kong","HKG",0.1,0.2,0.4
"EA","Taipei","TWN",0.1,0.2,0.4
"EA","Tokyo","JPN",0.2,0.5,0.8
"EA","Seoul","KOR",0.1,0.3,0.5
"SA","Kabul","AFG",1.9,5.6,9.3
"SA","Dhaka","BGD",0.3,0.9,1.5
"SA","Mumbai","IND",0.1,0.4,0.7
"SA","Tehran","IRN",0.2,0.7,1.1
"SA","Kathmandu","NPL",1.6,4.9,8.1
"SA","Karachi","PAK",0.3,0.9,1.5
"SA","Colombo","LKA",1.9,5.8,9.6
"SEA","Phnom Penh","KHM",5.4,16,26.2
"SEA","Jakarta","IDN",0.2,0.5,0.8
"SEA","Vientiane","LAO",9.4,27.4,44.5
"SEA","Kuala Lumpur","MYS",1.5,4.4,7.3
"SEA","Yangon","MMR",0.4,1.1,1.9
"SEA","Manila","PHL",4.5,13.3,21.9
"SEA","Singapore","SGP",0.5,1.4,2.3
"SEA","Bangkok","THA",0.2,0.5,0.8
"SEA","Ho Chi Minh City","VNM",0.4,1.2,1.9
"WA","Baku","AZE",2.1,6.2,10.3
"WA","Baghdad","IRQ",0.4,1.3,2.1
"WA","Jerusalem","ISR",2.9,8.6,14.3
"WA","Amman","JOR",2.4,7.2,11.9
"WA","Beirut","LBN",1.4,4.1,6.7
"WA","Muscat","OMN",5.4,16,26.3
"WA","Riyadh","SAU",0.9,2.8,4.7
"WA","Aleppo","SYR",2.8,8.4,14
"WA","Istanbul","TUR",0.1,0.3,0.5
"WA","Dubai","ARE",13.7,39.9,64.6
"WA","Sanaa","YEM",2.8,8.2,13.6
