"region","city","ISOALPHA","Initial_local_infection_1","Initial_local_infection_3","Initial_local_infection_5"
"CA","Almaty","KAZ",5,12.6,18.4
"CA","Bishkek","KGZ",14.2,34.7,49.3
"CA","Dushanbe","TJK",22.6,51.5,70.4
"CA","Ashgabat","TKM",16.4,39.6,55.9
"CA","Tashkent","UZB",6.8,18.4,28.2
"EA","Shanghai","CHN",0.5,1.5,2.4
"EA","Hong Kong","HKG",0.8,2.4,3.9
"EA","Taipei","TWN",0.8,2.3,3.7
"EA","Tokyo","JPN",1.9,5.6,9.1
"EA","Seoul","KOR",1,3.1,5
"SA","Kabul","AFG",10.3,27.9,42.5
"SA","Dhaka","BGD",1.6,4.8,7.8
"SA","Mumbai","IND",0.8,2.5,4.1
"SA","Tehran","IRN",1.3,3.8,6.3
"SA","Kathmandu","NPL",7,16.5,23
"SA","Karachi","PAK",1.7,5.1,8.4
"SA","Colombo","LKA",12.6,32.5,47.8
"SEA","Phnom Penh","KHM",31.6,79.7,115.5
"SEA","Jakarta","IDN",0.9,2.7,4.5
"SEA","Vientiane","LAO",47.3,109.9,151.6
"SEA","Kuala Lumpur","MYS",8.4,23.5,36.8
"SEA","Yangon","MMR",2.4,7,11.4
"SEA","Manila","PHL",23.2,58.4,84.6
"SEA","Singapore","SGP",3,8.9,14.4
"SEA","Bangkok","THA",1.5,4.5,7.5
"SEA","Ho Chi Minh City","VNM",2.3,6.7,10.6
"WA","Baku","AZE",11.3,28.6,41.5
"WA","Baghdad","IRQ",2.2,6.4,10.3
"WA","Jerusalem","ISR",17.1,39.5,54.3
"WA","Amman","JOR",11.3,29.3,43.2
"WA","Beirut","LBN",8.4,22,32.6
"WA","Muscat","OMN",18.3,45.8,66
"WA","Riyadh","SAU",3.6,10.4,16.7
"WA","Aleppo","SYR",12.4,32.1,47.4
"WA","Istanbul","TUR",0.6,1.9,3.1
"WA","Dubai","ARE",36.2,82.8,113.6
"WA","Sanaa","YEM",12.7,32.8,48.4
