"region","city","ISOALPHA","Initial_local_infection_1","Initial_local_infection_3","Initial_local_infection_5"
"CA","Almaty","KAZ",0,1,2
"CA","Bishkek","KGZ",1,4,7
"CA","Dushanbe","TJK",2,7,11
"CA","Ashgabat","TKM",2,5,9
"CA","Tashkent","UZB",1,2,3
"EA","Shanghai","CHN",0,0,0
"EA","Hong Kong","HKG",0,0,1
"EA","Taipei","TWN",0,0,1
"EA","Tokyo","JPN",0,0,1
"EA","Seoul","KOR",0,0,1
"SA","Kabul","AFG",1,3,4
"SA","Dhaka","BGD",0,1,1
"SA","Mumbai","IND",0,0,1
"SA","Tehran","IRN",0,1,1
"SA","Kathmandu","NPL",1,2,3
"SA","Karachi","PAK",0,1,1
"SA","Colombo","LKA",2,5,9
"SEA","Phnom Penh","KHM",3,10,17
"SEA","Jakarta","IDN",0,0,1
"SEA","Vientiane","LAO",5,16,27
"SEA","Kuala Lumpur","MYS",1,4,6
"SEA","Yangon","MMR",0,1,2
"SEA","Manila","PHL",2,6,11
"SEA","Singapore","SGP",0,1,2
"SEA","Bangkok","THA",0,1,2
"SEA","Ho Chi Minh City","VNM",0,1,1
"WA","Baku","AZE",1,3,5
"WA","Baghdad","IRQ",0,1,1
"WA","Jerusalem","ISR",2,5,8
"WA","Amman","JOR",1,3,6
"WA","Beirut","LBN",1,2,3
"WA","Muscat","OMN",2,6,10
"WA","Riyadh","SAU",0,1,2
"WA","Aleppo","SYR",1,3,6
"WA","Istanbul","TUR",0,0,0
"WA","Dubai","ARE",3,9,16
"WA","Sanaa","YEM",1,3,5
